Mean Probability,Standard Deviation
0.6591551,0.46612832
0.6172806,0.43831578
0.44572946,0.4068541
0.33119068,0.4683743
0.64221233,0.4541347
0.9778388,0.0120260585
0.32847866,0.46392146
0.34983146,0.4478159
0.3649641,0.391908
0.6621993,0.4682484
0.6643351,0.4697563
0.40470186,0.4230237
0.6593206,0.46623394
0.9788003,0.011792411
0.6546882,0.46299896
0.32951456,0.46600398
0.38414454,0.38905558
0.6644576,0.4492126
0.6140639,0.43606132
0.65485406,0.46323827
0.6573837,0.46490344
0.6302665,0.44727328
0.6322417,0.448427
0.97184867,0.013608714
0.34124303,0.46401682
0.99005723,0.003049664
0.61176413,0.43630728
0.33836952,0.46623382
0.6562589,0.46413022
0.63308096,0.4490146
0.51912206,0.40351105
0.983105,0.01170676
0.3320376,0.46957204
0.6866147,0.42862517
0.6146395,0.43506652
0.33187947,0.46934846
0.32274374,0.45642853
0.32004526,0.45261234
0.6231666,0.44065318
0.6466804,0.45786637
0.66331613,0.46904287
0.6622521,0.46828312
0.64791256,0.45815337
0.32817814,0.46411395
0.32308522,0.45691147
0.6635434,0.4691965
0.3981527,0.4012476
0.65315026,0.46184894
0.6505634,0.46007073
0.6306924,0.44747138
0.65683746,0.46445486
0.6286348,0.44555324
0.62103003,0.44222802
0.9477832,0.029277695
0.6585757,0.46568394
0.33122385,0.46842125
0.35576496,0.45187277
0.4014624,0.42705387
0.3684025,0.4405868
0.46871486,0.41013092
0.662203,0.46825117
0.3456763,0.44017145
0.29298064,0.41433716
0.94719666,0.06298869
0.6580348,0.46530163
0.6055705,0.43167916
0.9832168,0.009661908
0.66315275,0.4689259
0.55040646,0.41058233
0.5962775,0.4268699
0.9511582,0.064255565
0.3357261,0.44284168
0.623081,0.44187638
0.34137776,0.46131185
0.63411236,0.44886076
0.51500523,0.38685903
0.6137429,0.4386302
0.5790965,0.41996595
0.9845085,0.014115301
0.98360735,0.020495972
0.4142159,0.37434193
0.65243405,0.46141988
0.89262694,0.12889124
0.3057377,0.43237838
0.66215223,0.4682147
0.47427717,0.40871742
0.57738644,0.41235754
0.6449824,0.4566197
0.66330004,0.46902406
0.65524596,0.46336412
0.75897264,0.32560074
0.33458355,0.4322834
0.31801054,0.42776588
0.61746186,0.43736014
0.6567083,0.46436292
0.65631413,0.4642086
0.33715817,0.46363816
0.6614835,0.46776956
0.65385175,0.46238056
0.9649125,0.003284578
0.360044,0.43598628
0.3325049,0.46597362
0.9618252,0.036573414
0.6506521,0.46015328
0.7314134,0.33287042
0.19828688,0.28041998
0.62275285,0.44076854
0.7224297,0.3774077
0.31727716,0.44869772
0.33264259,0.47042766
0.32559472,0.46046048
0.33207095,0.4696192
0.59965885,0.43052903
0.9758632,0.017624078
0.6488219,0.4588447
0.3317816,0.46921006
0.6610656,0.46744958
0.6562128,0.46401325
0.6602053,0.42471346
0.3298436,0.4664693
0.65679765,0.46443203
0.6330578,0.44814312
0.6698145,0.44973162
0.65756536,0.46499342
0.6494802,0.45929337
0.0004275094,0.0006045896
0.33116278,0.46833485
0.66359544,0.46923384
0.65371186,0.46246964
0.73291296,0.32546324
0.29709974,0.42016253
0.59118915,0.42681003
0.92210674,0.07422665
0.6497335,0.34992057
0.65501267,0.463165
0.66083354,0.4672862
0.65988296,0.466608
0.46298113,0.38847983
0.32261762,0.45281538
0.43409988,0.408874
0.6439107,0.455986
0.8308504,0.22834224
0.3184379,0.45033923
0.66086525,0.4673048
0.96886206,0.007207285
